knee_angle,hip_angle,back_angle,label
119.6262265833244,75.45282315823141,95.75400473597234,correct
103.75150554005114,98.53276588516582,170.6315267448,correct
178.33648802681483,165.46506752913157,158.08659512671738,incorrect
158.27805545508178,153.8838111435069,155.07518427014452,incorrect
172.00963140638217,169.59905753989025,174.5613813621203,incorrect
167.87356596093352,173.9857454502355,162.15576498722618,incorrect
83.3651930918885,83.02361689396062,136.98837287569,correct
99.1835683922112,101.5863845948854,168.9444682958516,correct
164.21385297869048,149.99602676830722,139.10735727541768,incorrect
105.45263388109665,104.5031257851766,178.08640864501146,correct
160.82892755108833,161.77373138158185,161.25084433650562,incorrect
53.19796163164472,53.507144560083454,134.51378365245668,incorrect
175.73734359713774,159.2832630954525,109.24625310396404,incorrect
176.03950683030143,163.76153598455994,112.79469362979594,incorrect
70.92353884765852,68.53828547196483,168.57647003566225,correct
109.12800225845552,97.2962657876429,96.67150767985768,correct
109.4364657504829,87.86011438489334,138.99515016772705,correct
128.7979772617931,125.3415894388647,116.4579206395511,incorrect
179.53128919757717,164.90615058209963,115.70483470989208,incorrect
89.36145957944967,92.43595841892082,139.01643103238834,correct
82.90519285882444,41.80010313215462,130.75179707510557,correct
92.31436871792287,93.2051356003676,166.80248316230652,correct
67.7506222368805,64.12275832157667,174.76833357130656,incorrect
173.7051337284468,173.4763365386815,117.1984754436378,incorrect
176.60324949602722,165.15678474040757,174.36261710934176,incorrect
155.134599480679,148.25230074514045,173.39512008866748,incorrect
100.38307539688482,92.7563474355025,163.87206467827843,correct
169.1528670732688,157.21954205924257,157.12291968744498,incorrect
139.76736826184558,138.66857507374368,155.7904753761377,incorrect
96.12317131595714,95.85426790066045,167.7974084009591,correct
117.13256737164278,121.44191887504265,159.3056252655492,correct
78.23818618967266,41.614929495724425,122.80767953878792,correct
150.7075135712748,142.27636694793264,114.49784259974194,incorrect
176.7388672694596,173.76534779339448,159.65725884262065,incorrect
163.9525669092554,163.8683173380671,175.22097882676653,incorrect
172.42111767813674,170.38998098691062,161.39620904487057,incorrect
90.68735596879134,87.90027050239688,106.7502353107613,correct
87.89966674875762,84.37321489501593,150.30826997077122,correct
93.21633968632938,98.9944412149718,167.2603345146977,correct
171.66079842382928,127.17938825541296,118.16329503176668,incorrect
139.21494515116905,135.33143108004023,175.88901890582443,incorrect
174.56568462887407,164.35124950652525,115.42647878588404,incorrect
174.24546283542435,135.8336482485812,106.15865934977124,incorrect
97.32289738120242,84.68225482426271,166.3861937639873,correct
77.13029835537073,58.07427573103864,151.83215531773806,correct
110.03274622754296,107.1621790333874,142.8081952930742,correct
84.408027169034,89.65460868225199,172.4934557849054,correct
114.33957887449644,120.4457789569684,168.76706355510026,correct
136.503992148256,136.84877654372335,157.14816874024172,incorrect
76.78912338906586,75.1648678252996,164.66259982879558,correct
148.22278580704565,141.06052226511727,174.24929309163073,incorrect
131.8442695818311,108.85379887260716,175.10919951136913,incorrect
93.41527157613136,90.01665463879715,170.8570800851402,correct
177.137812625671,179.14803733106928,167.68418193713248,incorrect
85.99462931614453,75.99368512173656,108.00539645524736,correct
76.33680382230693,92.65976028494453,111.78374347814042,correct
177.68063382219654,167.08420574296738,148.4015165854986,incorrect
88.76323640212416,91.6111038733368,151.00395036336218,incorrect
161.97329790767742,153.59355597568867,174.9846209958109,incorrect
74.1075329948174,95.48798960491068,176.86712586290471,incorrect
116.0715129487738,102.25253237318395,118.0453775974708,correct
139.6660906864235,145.53205931622688,173.82004124536263,incorrect
120.90299197352002,119.78054470020932,156.68942397866462,incorrect
99.81383220992568,98.405253623874,165.87762984223616,correct
139.36856108159802,144.1599820679894,174.61869893254902,incorrect
172.62564832557618,178.94713245472025,161.89238648449452,incorrect
113.06278185241094,104.23037283568917,157.0345113203315,correct
73.5689281967117,78.30892999047317,173.10991718993574,correct
70.0566415953833,59.3495255888229,163.9236484137589,correct
85.16398746343963,100.50720267115332,158.22821129772902,incorrect
159.16653183678767,156.4168937600321,153.46017689472603,incorrect
175.44037392480072,174.8347271894807,158.54935355399772,incorrect
175.6129291077625,175.62273447462627,167.07697964163583,incorrect
94.74194769771506,92.94869744003046,178.75810160606375,correct
174.1304365596587,173.32309265158233,177.36232128264035,incorrect
175.30821810663352,162.1617885473924,174.85038192639473,incorrect
179.28719214078265,166.45369667355305,118.55570961356204,incorrect
