elbow_angle,back_angle,hip_angle,knee_angle,exercise
167.58011916889285,176.06946257151682,170.8869250906714,150.18172650132445,pushup
158.3477298475606,177.50369677308427,172.65984395817665,158.37961553346108,pushup
129.51654902442775,178.43246820917622,170.96184573864062,164.23240742691496,pushup
78.41686240786278,170.64945867592098,160.7019472820782,157.06167065368965,pushup
69.16860654442253,171.62897428944865,157.21289404104374,132.54032437278863,pushup
134.03753476900997,176.9880093084961,175.9703762560451,165.3815238482823,pushup
166.1270746411778,169.1253601514065,176.9069422320213,149.89557481421568,pushup
166.0720370173997,167.69029349119154,177.62747631064917,146.39713135027125,pushup
166.20512119594528,167.11407958985566,178.23909155916135,148.41770675445642,pushup
169.3950870193551,172.04273141907214,167.9635723029172,170.67160376612716,pushup
177.49777400158916,171.66114547396046,171.2357642431624,178.7409915197624,pushup
167.9148011656539,172.470077857218,169.71618828267637,172.6115882502,pushup
146.8613775826834,166.4470910804918,162.94518766407816,162.24554320746907,pushup
151.88309609102214,152.85977769804816,141.47298040862918,140.27369253501175,pushup
178.454317266975,176.16035633369373,175.40695316178838,177.84816882142297,pushup
176.98085325918552,175.79453233053152,176.1926001236984,178.9985163688549,pushup
167.08380782351264,169.3991383885345,165.03057983402704,167.74061759810465,pushup
166.78055285230442,169.8239290030832,154.44067009771638,141.2096095073691,pushup
167.28650396640035,169.5524672470691,154.73661735494545,143.42659174754175,pushup
110.0351550748247,173.429237433279,169.3501376092722,139.7591467620223,pushup
75.95674558652931,166.69589782189118,173.223640580766,136.08859342701697,pushup
90.6090427939593,163.91107165760025,177.1427766198532,138.73435875845738,pushup
156.8643280319549,179.39808157186027,164.62384786343873,143.53999633763573,pushup
170.6172719448155,176.55092977701307,159.3251902054898,139.0230206782468,pushup
131.7817820684353,177.95871847907245,163.58178132228787,136.96089870992023,pushup
85.13900523791716,157.06849859132154,176.6123857971927,126.05206097089048,pushup
82.71534169849878,153.5083475376415,176.11761553679577,132.4575474281814,pushup
141.7527216078888,179.34071391062582,166.75629380377185,146.73203956751937,pushup
167.9011023596346,174.53287303173082,160.1401876987345,145.79533119085804,pushup
125.46624258824735,178.74634451141128,162.46736017056625,137.28355753839705,pushup
79.35436698069093,160.2661595935865,179.47410946308983,139.13749715389025,pushup
73.16250097717969,162.89705614615755,179.3941092291644,142.4933889268859,pushup
108.51873091294196,152.83789465336804,141.40068186294224,155.8294786853814,pushup
60.82570623532209,161.16495459658606,159.35097168550203,176.32072833882998,pushup
63.3425335757507,161.700414848544,160.5871990285916,177.75332415073188,pushup
127.32294090050873,161.89135013832666,159.22296089177226,174.08312517064658,pushup
166.31627002643717,167.33585468054412,167.07186084977147,179.47016646607076,pushup
174.79150110714176,162.21440639995012,162.70386803876346,179.0288133665708,pushup
165.06047494098323,163.8941852429504,164.8445759990616,178.08954027140206,pushup
126.68604149126536,156.9435187650292,142.1864693103121,147.57070660832525,pushup
76.3970789246011,168.05113896618602,167.00959760645273,177.88356978171194,pushup
57.62501758406666,170.3976453122291,168.92831773234386,177.04953452322002,pushup
134.73979290225304,152.55000776988967,138.07537101051963,147.5207366835996,pushup
168.74686240984332,170.34340585449894,168.9379190048145,177.16805590099608,pushup
173.62250920338747,166.31701335613934,166.33537633087374,179.96345926608592,pushup
141.81481898623127,157.35021092142716,149.42837606867397,162.10927591376011,pushup
92.51222575951442,164.88135018176695,160.97216400299715,171.90838968956322,pushup
