elbow_angle,shoulder_angle,back_angle,hip_angle,knee_angle,label
148.03024762416518,50.347239239652644,165.85340838293723,166.09918870029034,179.36353352198782,correct
143.98337755264058,45.30070884605937,162.76115935169662,166.27484556107595,171.52385682224897,correct
139.87891977049992,38.986055286587586,158.3807470449394,160.32717021485814,175.26133639113561,correct
139.87891977049992,39.6669184880789,158.97238413483467,160.92785323124932,175.34151657623576,correct
149.75252619803302,63.79518163750051,154.80506494562172,156.7055775371811,175.79359346736533,correct
122.28010094118824,51.134609859599024,163.64895402915838,165.21835922051443,175.94610146027338,correct
107.27896639291765,46.063989659377924,155.7472988681269,158.5999590135992,172.63398731913918,correct
71.69153172110529,6.759081126970487,169.65442206828538,171.57156904237897,175.37791121806436,correct
51.59177216375801,7.139881747647904,159.29672781064852,160.09105335231234,178.05779977552316,incorrect
51.59177216375801,7.139881747647904,159.29672781064852,160.09105335231234,178.05779977552316,incorrect
51.59177216375801,7.139881747647904,159.29672781064852,160.09105335231234,178.05779977552316,incorrect
51.59177216375801,7.139881747647904,159.29672781064852,160.09105335231234,178.05779977552316,incorrect
76.09403985362104,8.0015142787594,167.23583473212173,166.6380226213991,178.6131227431639,correct
93.84444632119556,17.970792352067374,173.08473671747387,172.13981794708812,177.8111905439245,correct
116.12436021887976,34.34555794402745,168.96986152814463,170.1602390796933,177.22994397618427,correct
135.72905641474298,39.943664582160224,178.20221391123172,178.62719736257878,179.02910959421845,correct
150.37230047451237,46.32657521446792,178.84222451017777,177.69706161713412,177.28480344141005,correct
157.32412466769145,49.15790233689002,176.83572728572975,179.19344639086296,173.6895347269093,correct
172.28464432230885,53.73581396231377,177.55488485392374,177.823943657726,179.26356995124843,correct
172.28464432230885,53.73581396231377,177.55488485392374,177.823943657726,179.26356995124843,correct
172.28464432230885,53.73581396231377,177.55488485392374,177.823943657726,179.26356995124843,correct
172.28464432230885,53.73581396231377,177.55488485392374,177.823943657726,179.26356995124843,correct
163.9073253104228,56.02300573337756,177.27273694988642,178.13440559268443,177.67241199279832,correct
84.82878619296395,19.311801067611018,170.4016556733828,173.04214662885482,173.74156737253082,correct
63.64214251173934,6.811228402447795,174.6555636096139,173.60443333974843,177.44242459654555,correct
99.36894519951232,25.527651033026807,169.0159866929218,169.52923980186918,178.8213940619645,correct
126.27914931442078,37.67139462810069,176.1336240909248,177.35500001359833,177.27901364317802,correct
162.43616041702143,48.21382671097912,178.30409679461903,177.73068516139853,178.59895583786147,correct
164.36882603212,49.50343321298914,179.82457290182973,179.63733128049043,179.55467387665564,correct
170.39807935627385,56.31285043943938,174.1722821124886,175.146069463062,177.68952760383485,correct
170.39807935627385,56.31285043943938,174.1722821124886,175.146069463062,177.68952760383485,correct
170.39807935627385,56.31285043943938,174.1722821124886,175.146069463062,177.68952760383485,correct
163.74328213318284,52.67484153807192,177.94585539290327,179.0674841926701,177.24542643618855,correct
132.75775718199836,39.53957673780585,175.5872630698676,175.01281864751078,178.71069681731888,correct
115.44195886572649,38.84676490039072,172.98377978428135,174.2805925939278,176.93985551534402,correct
101.99756011030996,25.561130542870636,176.81092977380754,177.51510110930514,178.32358295965236,correct
